"filename", "language", "JSON", "PowerShell", "YAML", "Markdown", "Batch", "Go", "Go Checksum File", "JSON with Comments", "Go Module File", "TypeScript", "XML", "Shell Script", "vue", "Objective-C", "HTML", "PostCSS", "Java Properties", "Gradle", "Java", "comment", "blank", "total"
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\pnpm-lock.yaml", "YAML", 0, 0, 655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 831
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\public\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 6, 15, 90
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\components\icons\TaijiIcon.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\components\vault\DocumentTree.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 37, 330
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\components\vault\DocumentViewer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 506, 0, 0, 0, 0, 0, 0, 0, 74, 580
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\components\vault\UnlockPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 27, 196
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\components\vault\VaultWorkspace.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 23, 191
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\composables\useInteractionGuard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\composables\useVault.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 211
